Name,Brand,Rating,Price,Dominance,THC,CBD,Terpenes,Calm/Energize,Feelings,Helps,Negative,Join_name
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.1455,"['Happy 61%', 'Relaxed 58%', 'Euphoric 53%', 'Uplifted 46%', 'Creative 34%']","['Stress 35%', 'Depression 27%', 'Pain 26%', 'Anxiety 26%', 'Insomnia 14%']","['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']",gsc
Zkittlez (CBD),Simply Crafted,5.0,25.0,THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Humulene', 'Linalool']",-0.6124,"['Relaxed 48%', 'Happy 30%', 'Euphoric 27%', 'Uplifted 23%', 'Sleepy 20%']","['Stress 19%', 'Depression 16%', 'Anxiety 16%', 'Pain 14%', 'Insomnia 10%']","['Dry mouth 17%', 'Dry eyes 9%', 'Headache 3%', 'Dizzy 3%', 'Anxious 2%']",zkittlez
Candyland (CBD),Black Tie CBD,5.0,9.0,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.7717,"['Happy 62%', 'Uplifted 53%', 'Euphoric 50%', 'Relaxed 46%', 'Energetic 42%']","['Stress 30%', 'Depression 28%', 'Anxiety 21%', 'Pain 19%', 'Fatigue 16%']","['Dry mouth 21%', 'Dry eyes 13%', 'Anxious 5%', 'Dizzy 4%', 'Paranoid 3%']",candyland
Chernobyl,Red Frog Cannabis,5.0,,THC Dominant,15–20% THC,< 1% CBD,"['Terpinolene', 'Myrcene', 'Caryophyllene']",0.778,"['Happy 55%', 'Uplifted 51%', 'Euphoric 49%', 'Relaxed 42%', 'Energetic 41%']","['Stress 37%', 'Depression 33%', 'Pain 28%', 'Anxiety 28%', 'Fatigue 15%']","['Dry mouth 28%', 'Dry eyes 16%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 4%']",chernobyl
Candyland (CBD),Black Tie CBD,5.0,9.0,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.7717,"['Happy 62%', 'Uplifted 53%', 'Euphoric 50%', 'Relaxed 46%', 'Energetic 42%']","['Stress 30%', 'Depression 28%', 'Anxiety 21%', 'Pain 19%', 'Fatigue 16%']","['Dry mouth 21%', 'Dry eyes 13%', 'Anxious 5%', 'Dizzy 4%', 'Paranoid 3%']",candyland
Brownie Scout - Relax,rythm,4.7,,,,,,,,,,brownie scout - relax
Sour Diesel ,Applegate Valley Organics,,,THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",0.8822,"['Happy 61%', 'Uplifted 53%', 'Euphoric 53%', 'Energetic 49%', 'Creative 42%']","['Stress 38%', 'Depression 28%', 'Anxiety 28%', 'Pain 23%', 'Fatigue 13%']","['Dry mouth 34%', 'Dry eyes 19%', 'Paranoid 10%', 'Dizzy 8%', 'Headache 5%']",sour diesel
Mr. Clean ,matter.,4.3,,,,,,,,,,mr. clean
Hash Haze,Terrapin Care Station,3.9,,,,,,,,,,hash haze
Roc OG,Korova,3.0,,,,,,,,,,roc og
Critical Kush (CBD),Simply Crafted,4.9,25.0,THC Dominant,15–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",-0.8753,"['Relaxed 79%', 'Happy 54%', 'Sleepy 47%', 'Euphoric 41%', 'Uplifted 30%']","['Stress 36%', 'Pain 33%', 'Insomnia 29%', 'Depression 28%', 'Anxiety 27%']","['Dry mouth 32%', 'Dry eyes 19%', 'Dizzy 7%', 'Anxious 4%', 'Paranoid 3%']",critical kush
Hash Haze,Terrapin Care Station,3.9,,,,,,,,,,hash haze
