Name,Race,Flavor,Positive effects,Negative effects,Medical effects
Big Buddha Cheese,hybrid,"['Cheese', 'Pungent', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches']"
Big Holy Nina,hybrid,"['Earthy', 'Pungent', 'Woody']","['Euphoric', 'Happy', 'Talkative', 'Uplifted']",[],"['Stress', 'Lack of Appetite', 'Nausea', 'Fatigue']"
Big Kush,hybrid,"['Citrus', 'Lemon', 'Lime']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dry Mouth', 'Dry Eyes']","['Insomnia', 'Pain', 'Stress', 'Cramps', 'Nausea']"
Big Mac,indica,"['Citrus', 'Earthy', 'Pungent']","['Relaxed', 'Creative', 'Aroused']","['Dizzy', 'Anxious']","['Depression', 'Insomnia', 'Stress']"
Big Skunk Korean,hybrid,"['Flowery', 'Skunk']","['Hungry', 'Creative', 'Energetic', 'Talkative', 'Uplifted']",['Dry Mouth'],"['Depression', 'Lack of Appetite', 'Nausea', 'Fatigue']"
Big Sky OG,hybrid,"['Chemical', 'Berry', 'Pungent']","['Relaxed', 'Creative', 'Uplifted', 'Tingly']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Headaches', 'Eye Pressure']"
Big Smooth,hybrid,"['Blueberry', 'Earthy', 'Pine']","['Happy', 'Creative', 'Tingly', 'Giggly', 'Aroused']",[],"['Depression', 'Insomnia', 'Lack of Appetite', 'Fatigue', 'Headaches']"
Big Sur Holy Bud,sativa,"['Pine', 'Woody', 'Earthy']","['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Focused']",[],"['Depression', 'Stress', 'Nausea', 'Fatigue', 'Muscle Spasms']"
Big White,indica,"['Flowery', 'Diesel', 'Earthy']","['Relaxed', 'Uplifted', 'Sleepy']","['Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']"
Big Wreck,indica,"['Earthy', 'Pungent', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Stress', 'Headache', 'Fatigue', 'Muscle Spasms']"
Biker Le’Blanc,hybrid,"['Earthy', 'Sage', 'Spicy/Herbal']","['Relaxed', 'Euphoric', 'Energetic', 'Focused', 'Aroused']",[],['Cramps']
Bio-Diesel,hybrid,"['Diesel', 'Pungent', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']"
Bio-Jesus,hybrid,"['Earthy', 'Flowery', 'Chemical']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Muscle Spasms']"
Biochem,indica,"['Spicy/Herbal', 'Skunk', 'Earthy']","['Relaxed', 'Hungry', 'Euphoric', 'Sleepy', 'Aroused']",[],"['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Fatigue']"
