Name,Brand,Rating,Price,Join_name
Biscotti - Top Shelf,Ponderosa Releaf Copper Top,,,biscotti - top shelf
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Sweet Hearts,Ponderosa Releaf Copper Top,,,sweet hearts
AK-47,Acme Diesel,,,ak-47
Kitchen Sink,Real Leaf Solutions,,,kitchen sink
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
LA Cookies,Freddy's Fuego,5.0,,la cookies
Cough Drops,Copperstate Farms,,,cough drops
Mimosa,Omura,,40.0,mimosa
It's Gelato,Cannavore,,,it's gelato
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Charge 506,Canndescent,,,charge 506
Durbert (MED),High Winds Farm,,,durbert
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Adonis,Seattle's Private Reserve - SPR,,,adonis
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Banana Split ,Aroma Cannabis,5.0,10.0,banana split
Poontang Pie Mini Buds,Driftboat,,,poontang pie mini buds
Papaya Cake #2,Lazercat,,,papaya cake #2
ZEN - Budlettes Eighth,HUXTON,,28.0,zen - budlettes eighth
Jamaican Hash Plant ,Cannabis Nation Dispensaries,,,jamaican hash plant
Super Silver Haze,Bloom Cannabis,,,super silver haze
Hash Haze,Terrapin Care Station,3.9,,hash haze
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
The H.O.G. Indica,matter.,,,the h.o.g. indica
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Rawdawg,Clandestine Gardens,,,rawdawg
Lemon G,Terrapin Care Station,4.6,,lemon g
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Hash Haze,Terrapin Care Station,3.9,,hash haze
Flo OG,Sunday Goods,,,flo og
sour space candy ,Wall's Organics,5.0,,sour space candy
Skunk Whiz,AZ Nectar Farms,,,skunk whiz
Wedding Cake,Urban Pharms,,,wedding cake
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Silver Hawk,Yerba Buena,4.0,,silver hawk
Gelato,Moani Naturals,,,gelato
